"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"/root/connect/Cargo.lock", "TOML", 65, 0, 0, 5, 70
"/root/connect/Cargo.toml", "TOML", 14, 0, 0, 1, 15
"/root/connect/migration/src/lib.rs", "Rust", 0, 0, 0, -3, -3
"/root/connect/migration/src/m20240424_000002_devices.rs", "Rust", 0, 60, 0, 7, 67
"/root/connect/migration/src/m20240424_000003_routes.rs", "Rust", 0, 68, 0, 7, 75
"/root/connect/migration/src/m20240424_000004_segments.rs", "Rust", 0, 84, 8, 7, 99
"/root/connect/migration/src/m20240424_101126_devices.rs", "Rust", 0, -53, 0, -10, -63
"/root/connect/migration/src/m20240424_141802_sements.rs", "Rust", 0, -76, -11, -8, -95
"/root/connect/migration/src/m20240424_144603_routes.rs", "Rust", 0, -56, 0, -8, -64
"/root/connect/migration/src/m20240424_155056_authorized_users.rs", "Rust", 0, -61, 0, -8, -69
"/root/connect/migration/src/m20240425_071518_authorized_users.rs", "Rust", 0, 61, 0, 7, 68
"/root/connect/src/app.rs", "Rust", 0, 29, 4, 6, 39
"/root/connect/src/bin/main.rs", "Rust", 0, 0, 0, -2, -2
"/root/connect/src/capnp_mod.rs", "Rust", 0, 0, 0, -1, -1
"/root/connect/src/controllers/auth.rs", "Rust", 0, -4, 4, 0, 0
"/root/connect/src/controllers/connectdata.rs", "Rust", 0, 40, 9, 8, 57
"/root/connect/src/controllers/connectincomming.rs", "Rust", 0, 84, 5, 8, 97
"/root/connect/src/controllers/mod.rs", "Rust", 0, 1, 0, 0, 1
"/root/connect/src/controllers/useradmin.rs", "Rust", 0, 173, 63, 38, 274
"/root/connect/src/controllers/v1.rs", "Rust", 0, 4, 0, 0, 4
"/root/connect/src/lib.rs", "Rust", 0, 1, 0, 0, 1
"/root/connect/src/models/_entities/authorized_users.rs", "Rust", 0, 2, -2, 0, 0
"/root/connect/src/models/_entities/authorized_users_old.rs", "Rust", 0, 39, 3, 6, 48
"/root/connect/src/models/_entities/devices.rs", "Rust", 0, 4, 0, 0, 4
"/root/connect/src/models/_entities/notes.rs", "Rust", 0, 0, 0, -1, -1
"/root/connect/src/models/_entities/routes.rs", "Rust", 0, 12, 0, 1, 13
"/root/connect/src/models/_entities/segments.rs", "Rust", 0, 53, 1, 5, 59
"/root/connect/src/models/_entities/sements.rs", "Rust", 0, -35, -1, -4, -40
"/root/connect/src/models/devices.rs", "Rust", 0, 30, 0, 3, 33
"/root/connect/src/models/routes.rs", "Rust", 0, 153, 56, 21, 230
"/root/connect/src/models/segments.rs", "Rust", 0, 155, 61, 25, 241
"/root/connect/src/models/sements.rs", "Rust", 0, -4, -1, -2, -7
"/root/connect/src/tasks/mod.rs", "Rust", 0, 1, 0, -1, 0
"/root/connect/src/tasks/seed_from_mkv.rs", "Rust", 0, 75, 6, 19, 100
"/root/connect/src/views/auth.rs", "Rust", 0, 10, 1, 3, 14
"/root/connect/src/views/mod.rs", "Rust", 0, 1, 0, 0, 1
"/root/connect/src/views/route.rs", "Rust", 0, 10, 2, 5, 17
"/root/connect/src/websockets/handler.rs", "Rust", 0, 60, 2, 13, 75
"/root/connect/src/websockets/mod.rs", "Rust", 0, 1, 0, 0, 1
"/root/connect/src/workers/jpg_extractor.rs", "Rust", 0, 20, 1, 5, 26
"/root/connect/src/workers/mod.rs", "Rust", 0, 1, 0, 0, 1
"/root/connect/src/workers/qlog_parser.rs", "Rust", 0, 147, 7, 11, 165
"/root/connect/tests/models/authorized_devices.rs", "Rust", 0, -17, -9, -6, -32
"/root/connect/tests/models/authorized_users.rs", "Rust", 0, 17, 9, 6, 32
"/root/connect/tests/models/segments.rs", "Rust", 0, 17, 9, 6, 32
"/root/connect/tests/models/sements.rs", "Rust", 0, -17, -9, -6, -32
"/root/connect/tests/requests/mod.rs", "Rust", 0, 1, 0, 0, 1
"/root/connect/tests/requests/useradmin.rs", "Rust", 0, 26, 0, 4, 30
"/root/connect/tests/tasks/mod.rs", "Rust", 0, 2, 0, 0, 2
"/root/connect/tests/tasks/seed_data.rs", "Rust", 0, 16, 0, 5, 21
"/root/connect/tests/tasks/seed_from_mkv.rs", "Rust", 0, 16, 0, 5, 21
"/root/connect/tests/workers/jpg_extractor.rs", "Rust", 0, 16, 2, 5, 23
"Total", "-", 79, 1167, 220, 182, 1648